Item_ID,Item
136,Minute Maid Orange Juice (Large)
137,Dasani Water Bottle
138,Iced Tea (Small)
139,Iced Tea (Medium)
140,Iced Tea (Large)
141,Iced Tea (Child)
142,Sweet Tea (Small)
143,Sweet Tea (Medium)
144,Sweet Tea (Large)
145,Sweet Tea (Child)
146,Coffee (Small)
147,Coffee (Medium)
148,Coffee (Large)
149,Latte (Small)
150,Latte (Medium)
151,Latte (Large)
152,Caramel Latte (Small)
153,Caramel Latte (Medium)
154,Caramel Latte (Large)
155,Hazelnut Latte (Small)
156,Hazelnut Latte (Medium)
157,Hazelnut Latte (Large)
158,French Vanilla Latte (Small)
159,French Vanilla Latte (Medium)
160,French Vanilla Latte (Large)
161,Latte with Sugar Free French Vanilla Syrup (Small)
162,Latte with Sugar Free French Vanilla Syrup (Medium)
163,Latte with Sugar Free French Vanilla Syrup (Large)
164,Nonfat Latte (Small)
165,Nonfat Latte (Medium)
166,Nonfat Latte (Large)
167,Nonfat Caramel Latte (Small)
168,Nonfat Caramel Latte (Medium)
169,Nonfat Caramel Latte (Large)
170,Nonfat Hazelnut Latte (Small)
171,Nonfat Hazelnut Latte (Medium)
172,Nonfat Hazelnut Latte (Large)
173,Nonfat French Vanilla Latte (Small)
174,Nonfat French Vanilla Latte (Medium)
175,Nonfat French Vanilla Latte (Large)
176,Nonfat Latte with Sugar Free French Vanilla Syrup (Small)
177,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium)
178,Nonfat Latte with Sugar Free French Vanilla Syrup (Large)
179,Mocha (Small)
180,Mocha (Medium)
181,Mocha (Large)
182,Mocha with Nonfat Milk (Small)
183,Mocha with Nonfat Milk (Medium)
184,Mocha with Nonfat Milk (Large)
185,Caramel Mocha (Small)
186,Caramel Mocha (Medium)
187,Caramel Mocha (Large)
188,Nonfat Caramel Mocha (Small)
189,Nonfat Caramel Mocha (Medium)
190,Nonfat Caramel Mocha (Large)
191,Hot Chocolate (Small)
192,Hot Chocolate (Medium)
193,Hot Chocolate (Large)
194,Hot Chocolate with Nonfat Milk (Small)
195,Hot Chocolate with Nonfat Milk (Medium)
196,Hot Chocolate with Nonfat Milk (Large)
197,Regular Iced Coffee (Small)
198,Regular Iced Coffee (Medium)
199,Regular Iced Coffee (Large)
200,Caramel Iced Coffee (Small)
201,Caramel Iced Coffee (Medium)
202,Caramel Iced Coffee (Large)
203,Hazelnut Iced Coffee (Small)
204,Hazelnut Iced Coffee (Medium)
205,Hazelnut Iced Coffee (Large)
206,French Vanilla Iced Coffee (Small)
207,French Vanilla Iced Coffee (Medium)
208,French Vanilla Iced Coffee (Large)
209,Iced Coffee with Sugar Free French Vanilla Syrup (Small)
210,Iced Coffee with Sugar Free French Vanilla Syrup (Medium)
211,Iced Coffee with Sugar Free French Vanilla Syrup (Large)
212,Iced Mocha (Small)
213,Iced Mocha (Medium)
214,Iced Mocha (Large)
215,Iced Mocha with Nonfat Milk (Small)
216,Iced Mocha with Nonfat Milk (Medium)
217,Iced Mocha with Nonfat Milk (Large)
218,Iced Caramel Mocha (Small)
219,Iced Caramel Mocha (Medium)
220,Iced Caramel Mocha (Large)
221,Iced Nonfat Caramel Mocha (Small)
222,Iced Nonfat Caramel Mocha (Medium)
223,Iced Nonfat Caramel Mocha (Large)
224,Frappe Mocha (Small)
225,Frappe Mocha (Medium)
226,Frappe Mocha (Large)
227,Frappe Caramel (Small)
228,Frappe Caramel (Medium)
229,Frappe Caramel (Large)
230,Frappe Chocolate Chip (Small)
231,Frappe Chocolate Chip (Medium)
232,Frappe Chocolate Chip (Large)
233,Blueberry Pomegranate Smoothie (Small)
234,Blueberry Pomegranate Smoothie (Medium)
235,Blueberry Pomegranate Smoothie (Large)
236,Strawberry Banana Smoothie (Small)
237,Strawberry Banana Smoothie (Medium)
238,Strawberry Banana Smoothie (Large)
239,Mango Pineapple Smoothie (Small)
240,Mango Pineapple Smoothie (Medium)
241,Mango Pineapple Smoothie (Large)
242,Vanilla Shake (Small)
243,Vanilla Shake (Medium)
244,Vanilla Shake (Large)
245,Strawberry Shake (Small)
246,Strawberry Shake (Medium)
247,Strawberry Shake (Large)
248,Chocolate Shake (Small)
249,Chocolate Shake (Medium)
250,Chocolate Shake (Large)
251,Shamrock Shake (Medium)
252,Shamrock Shake (Large)
253,McFlurry with M&M’s Candies (Small)
254,McFlurry with M&M’s Candies (Medium)
255,McFlurry with M&M’s Candies (Snack)
256,McFlurry with Oreo Cookies (Small)
257,McFlurry with Oreo Cookies (Medium)
258,McFlurry with Oreo Cookies (Snack)
259,McFlurry with Reese's Peanut Butter Cups (Medium)
260,McFlurry with Reese's Peanut Butter Cups (Snack)
261,TazoChai Tea Latte
262,TazoChai Tea Latte
263,TazoChai Tea Latte
264,TazoChai Tea Latte
265,TazoChai Tea Latte
266,TazoChai Tea Latte
267,TazoChai Tea Latte
268,TazoChai Tea Latte
269,TazoChai Tea Latte
270,TazoChai Tea Latte
271,TazoChai Tea Latte
272,TazoChai Tea Latte
273,TazoGreen Tea Latte
274,TazoGreen Tea Latte
275,TazoGreen Tea Latte
276,TazoGreen Tea Latte
277,TazoGreen Tea Latte
278,TazoGreen Tea Latte
279,TazoGreen Tea Latte
280,TazoGreen Tea Latte
281,TazoGreen Tea Latte
282,TazoGreen Tea Latte
283,TazoGreen Tea Latte
284,TazoGreen Tea Latte
285,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
286,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
287,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
288,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
289,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
290,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
291,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
292,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
293,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
294,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
295,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
296,TazoFull Leaf Red Tea Latte (Vanilla Rooibos)
297,Iced Brewed Coffee (With Classic Syrup)
298,Iced Brewed Coffee (With Classic Syrup)
299,Iced Brewed Coffee (With Classic Syrup)
300,Iced Brewed Coffee (With Milk & Classic Syrup)
301,Iced Brewed Coffee (With Milk & Classic Syrup)
302,Iced Brewed Coffee (With Milk & Classic Syrup)
303,Iced Brewed Coffee (With Milk & Classic Syrup)
304,Iced Brewed Coffee (With Milk & Classic Syrup)
305,Iced Brewed Coffee (With Milk & Classic Syrup)
306,Iced Brewed Coffee (With Milk & Classic Syrup)
307,Iced Brewed Coffee (With Milk & Classic Syrup)
308,Shaken Iced TazoTea (With Classic Syrup)
309,Banana Chocolate Smoothie
310,Banana Chocolate Smoothie
311,Orange Mango Banana Smoothie
312,Orange Mango Banana Smoothie
313,Orange Mango Banana Smoothie
314,Strawberry Banana Smoothie
315,Strawberry Banana Smoothie
316,Strawberry Banana Smoothie
317,Strawberries & Creme (Without Whipped Cream)
318,Strawberries & Creme (Without Whipped Cream)
319,Strawberries & Creme (Without Whipped Cream)
320,Strawberries & Creme (Without Whipped Cream)
321,Strawberries & Creme (Without Whipped Cream)
322,Strawberries & Creme (Without Whipped Cream)
323,Strawberries & Creme (Without Whipped Cream)
324,Strawberries & Creme (Without Whipped Cream)
325,Strawberries & Creme (Without Whipped Cream)
326,Vanilla Bean (Without Whipped Cream)
327,Vanilla Bean (Without Whipped Cream)
328,Vanilla Bean (Without Whipped Cream)
329,Vanilla Bean (Without Whipped Cream)
330,Brewed Coffee
331,Brewed Coffee
332,Brewed Coffee
333,Brewed Coffee
334,Caffe Latte
335,Caffe Latte
336,Caffe Latte
337,Caffe Latte
338,Caffe Latte
339,Caffe Latte
340,Caffe Latte
341,Caffe Latte
342,Caffe Latte
343,Caffe Latte
344,Caffe Latte
345,Caffe Latte
346,Caffe Mocha (Without Whipped Cream)
347,Caffe Mocha (Without Whipped Cream)
348,Caffe Mocha (Without Whipped Cream)
349,Caffe Mocha (Without Whipped Cream)
350,Caffe Mocha (Without Whipped Cream)
351,Caffe Mocha (Without Whipped Cream)
352,Caffe Mocha (Without Whipped Cream)
353,Caffe Mocha (Without Whipped Cream)
354,Caffe Mocha (Without Whipped Cream)
355,Caffe Mocha (Without Whipped Cream)
356,Caffe Mocha (Without Whipped Cream)
357,Caffe Mocha (Without Whipped Cream)
358,Vanilla Latte (Or Other Flavoured Latte)
359,Vanilla Latte (Or Other Flavoured Latte)
360,Vanilla Latte (Or Other Flavoured Latte)
361,Vanilla Latte (Or Other Flavoured Latte)
362,Vanilla Latte (Or Other Flavoured Latte)
363,Vanilla Latte (Or Other Flavoured Latte)
364,Vanilla Latte (Or Other Flavoured Latte)
365,Vanilla Latte (Or Other Flavoured Latte)
366,Vanilla Latte (Or Other Flavoured Latte)
367,Vanilla Latte (Or Other Flavoured Latte)
368,Vanilla Latte (Or Other Flavoured Latte)
369,Vanilla Latte (Or Other Flavoured Latte)
370,Caffe Americano
371,Caffe Americano
372,Caffe Americano
373,Caffe Americano
374,Cappuccino
375,Cappuccino
376,Cappuccino
377,Cappuccino
378,Cappuccino
379,Cappuccino
380,Cappuccino
381,Cappuccino
382,Cappuccino
383,Cappuccino
384,Cappuccino
385,Cappuccino
386,Espresso
387,Espresso
388,Skinny Latte (Any Flavour)
389,Skinny Latte (Any Flavour)
390,Skinny Latte (Any Flavour)
391,Skinny Latte (Any Flavour)
392,Caramel Macchiato
393,Caramel Macchiato
394,Caramel Macchiato
395,Caramel Macchiato
396,Caramel Macchiato
397,Caramel Macchiato
398,Caramel Macchiato
399,Caramel Macchiato
400,Caramel Macchiato
401,Caramel Macchiato
402,Caramel Macchiato
403,Caramel Macchiato
404,White Chocolate Mocha (Without Whipped Cream)
405,White Chocolate Mocha (Without Whipped Cream)
406,White Chocolate Mocha (Without Whipped Cream)
407,White Chocolate Mocha (Without Whipped Cream)
408,White Chocolate Mocha (Without Whipped Cream)
409,White Chocolate Mocha (Without Whipped Cream)
410,White Chocolate Mocha (Without Whipped Cream)
411,White Chocolate Mocha (Without Whipped Cream)
412,White Chocolate Mocha (Without Whipped Cream)
413,White Chocolate Mocha (Without Whipped Cream)
414,White Chocolate Mocha (Without Whipped Cream)
415,White Chocolate Mocha (Without Whipped Cream)
416,Hot Chocolate (Without Whipped Cream)
417,Hot Chocolate (Without Whipped Cream)
418,Hot Chocolate (Without Whipped Cream)
419,Hot Chocolate (Without Whipped Cream)
420,Hot Chocolate (Without Whipped Cream)
421,Hot Chocolate (Without Whipped Cream)
422,Hot Chocolate (Without Whipped Cream)
423,Hot Chocolate (Without Whipped Cream)
424,Hot Chocolate (Without Whipped Cream)
425,Hot Chocolate (Without Whipped Cream)
426,Hot Chocolate (Without Whipped Cream)
427,Hot Chocolate (Without Whipped Cream)
428,Caramel Apple Spice (Without Whipped Cream)
429,Caramel Apple Spice (Without Whipped Cream)
430,Caramel Apple Spice (Without Whipped Cream)
431,Caramel Apple Spice (Without Whipped Cream)
432,Coffee
433,Coffee
434,Coffee
435,Coffee
436,Coffee
437,Coffee
438,Coffee
439,Coffee
440,Coffee
441,Mocha (Without Whipped Cream)
442,Mocha (Without Whipped Cream)
443,Mocha (Without Whipped Cream)
444,Mocha (Without Whipped Cream)
445,Mocha (Without Whipped Cream)
446,Mocha (Without Whipped Cream)
447,Mocha (Without Whipped Cream)
448,Mocha (Without Whipped Cream)
449,Mocha (Without Whipped Cream)
450,Caramel (Without Whipped Cream)
451,Caramel (Without Whipped Cream)
452,Caramel (Without Whipped Cream)
453,Caramel (Without Whipped Cream)
454,Caramel (Without Whipped Cream)
455,Caramel (Without Whipped Cream)
456,Caramel (Without Whipped Cream)
457,Caramel (Without Whipped Cream)
458,Caramel (Without Whipped Cream)
459,Java Chip (Without Whipped Cream)
460,Java Chip (Without Whipped Cream)
461,Java Chip (Without Whipped Cream)
462,Java Chip (Without Whipped Cream)
463,Java Chip (Without Whipped Cream)
464,Java Chip (Without Whipped Cream)
465,Java Chip (Without Whipped Cream)
466,Java Chip (Without Whipped Cream)
467,Java Chip (Without Whipped Cream)
468,Coffee
469,Coffee
470,Coffee
471,Mocha
472,Mocha
473,Mocha
474,Caramel
475,Caramel
476,Caramel
477,Java Chip
478,Java Chip
479,Java Chip
